HITId,WorkerId,WorkTimeInSeconds,key,english,hindi,rating
3NZ1E5QA74EPA8K0O4M5P5II52HB5G,A2URMYFRQM2WHN,150,image,A white bird with a yellow beak is standing.,மஞ்சள் நிற மூக்கு கொண்ட வெண்மை நிற கோழிக்குஞ்சு,3
3NZ1E5QA74EPA8K0O4M5P5II52HB5G,A2URMYFRQM2WHN,150,image,A woman lies does in a bed fully clothed.,தனது பாக்கெட்டுக்குள் ஏதேனும் ஒன்றை வைத்திருக்கும் மனநிலையில் படுக்கைக்குச் செல்கிறார்.,3
3NZ1E5QA74EPA8K0O4M5P5II52HB5G,A2URMYFRQM2WHN,150,gif,a man is performing a song into a microphone,அவர் நல்ல மற்றும் அழகான பாடுகிறார்,3
3NZ1E5QA74EPA8K0O4M5P5II52HB5G,A2URMYFRQM2WHN,150,image,A man with his arm raised stands over a flipped  table.,வீட்டின் வரவேற்பறையில் ஒரு பெண்ணின் அருகில் நின்று கொண்டு ஆண் ஒருவர் கைகளை உயர்த்தி கூச்சலிடுகிறார்.,4
3NZ1E5QA74EPA8K0O4M5P5II52HB5G,A2URMYFRQM2WHN,150,gif,a man is laying on a bed with white sheets.,ஒரு ஆண் படுக்கையில் உறங்கி கொண்டு இருக்கிறான்,3
3NZ1E5QA74EPA8K0O4M5P5II52HB5G,A2URMYFRQM2WHN,150,gif,a woman is holding her chin in her hand and smiling.,பெண் புன்னகையுடன் அழகாக இருக்கிறாள்,3
3NZ1E5QA74EPA8K0O4M5P5II52HB5G,A2URMYFRQM2WHN,150,image,A woman with a black beanie is holding a red cup.,ஒரு பெண் தன் தலையில் கருப்பு தொப்பி அணிந்துகொண்டு மற்றும் தலையை குனிந்தவண்ணம் சிரிக்கிறாள்,3
3NZ1E5QA74EPA8K0O4M5P5II52HB5G,A2URMYFRQM2WHN,150,image,A woman makes a gesture in front of a group of other women.,மேடை செயல்திறன் மற்றும் மதிப்பீட்டு பெண்,2
3NZ1E5QA74EPA8K0O4M5P5II52HB5G,A2URMYFRQM2WHN,150,gif,a man is unbuttoning his shirt and looking straight ahead,ஒருவன் சட்டையை கழற்றிக் கொண்டு இருக்கிறான்,4
3NZ1E5QA74EPA8K0O4M5P5II52HB5G,A2URMYFRQM2WHN,150,image,A dark haired man and woman embrace each near a window.,வெள்ளை நிற சுவரின் பின்னணியில் ஆண் ஒருவர் பெண்ணை அணைத்தபடி கண்களை மூடியுள்ளார்.,2
3NZ1E5QA74EPA8K0O4M5P5II52HB5G,A2DCGTGSVHL9KM,292,image,A white bird with a yellow beak is standing.,மஞ்சள் நிற மூக்கு கொண்ட வெண்மை நிற கோழிக்குஞ்சு,4
3NZ1E5QA74EPA8K0O4M5P5II52HB5G,A2DCGTGSVHL9KM,292,image,A woman lies does in a bed fully clothed.,தனது பாக்கெட்டுக்குள் ஏதேனும் ஒன்றை வைத்திருக்கும் மனநிலையில் படுக்கைக்குச் செல்கிறார்.,1
3NZ1E5QA74EPA8K0O4M5P5II52HB5G,A2DCGTGSVHL9KM,292,gif,a man is performing a song into a microphone,அவர் நல்ல மற்றும் அழகான பாடுகிறார்,2
3NZ1E5QA74EPA8K0O4M5P5II52HB5G,A2DCGTGSVHL9KM,292,image,A man with his arm raised stands over a flipped  table.,வீட்டின் வரவேற்பறையில் ஒரு பெண்ணின் அருகில் நின்று கொண்டு ஆண் ஒருவர் கைகளை உயர்த்தி கூச்சலிடுகிறார்.,1
3NZ1E5QA74EPA8K0O4M5P5II52HB5G,A2DCGTGSVHL9KM,292,gif,a man is laying on a bed with white sheets.,ஒரு ஆண் படுக்கையில் உறங்கி கொண்டு இருக்கிறான்,2
3NZ1E5QA74EPA8K0O4M5P5II52HB5G,A2DCGTGSVHL9KM,292,gif,a woman is holding her chin in her hand and smiling.,பெண் புன்னகையுடன் அழகாக இருக்கிறாள்,2
3NZ1E5QA74EPA8K0O4M5P5II52HB5G,A2DCGTGSVHL9KM,292,image,A woman with a black beanie is holding a red cup.,ஒரு பெண் தன் தலையில் கருப்பு தொப்பி அணிந்துகொண்டு மற்றும் தலையை குனிந்தவண்ணம் சிரிக்கிறாள்,1
3NZ1E5QA74EPA8K0O4M5P5II52HB5G,A2DCGTGSVHL9KM,292,image,A woman makes a gesture in front of a group of other women.,மேடை செயல்திறன் மற்றும் மதிப்பீட்டு பெண்,1
3NZ1E5QA74EPA8K0O4M5P5II52HB5G,A2DCGTGSVHL9KM,292,gif,a man is unbuttoning his shirt and looking straight ahead,ஒருவன் சட்டையை கழற்றிக் கொண்டு இருக்கிறான்,3
3NZ1E5QA74EPA8K0O4M5P5II52HB5G,A2DCGTGSVHL9KM,292,image,A dark haired man and woman embrace each near a window.,வெள்ளை நிற சுவரின் பின்னணியில் ஆண் ஒருவர் பெண்ணை அணைத்தபடி கண்களை மூடியுள்ளார்.,4
31JUPBOOSSHKAZPEDFI2FSOEJMWL8F,A2WI5DVHW58TY4,191,image,A woman in a black leather jacking is smiling.,பின்னால் இருந்து கட்டியணைக்க போகிறாள்,1
31JUPBOOSSHKAZPEDFI2FSOEJMWL8F,A2WI5DVHW58TY4,191,gif,a girl is breaking an egg on her head.,அவள் தலையில் முட்டை போட்டு உடைக்கின்றாள்.,4
31JUPBOOSSHKAZPEDFI2FSOEJMWL8F,A2WI5DVHW58TY4,191,image,A man sitting at a table is taking a drink from a wine glass.,அவர் மிகவும் இன்பமாக மது அருந்திக்கொண்டிக்கின்றார்,4
31JUPBOOSSHKAZPEDFI2FSOEJMWL8F,A2WI5DVHW58TY4,191,gif,a man has a baby under his jacket.,அப்பாவின் ஜெர்க்கினில் குழந்தை உள்ளது,3
31JUPBOOSSHKAZPEDFI2FSOEJMWL8F,A2WI5DVHW58TY4,191,gif,a woman is outside looking though a magnifying glass.,ஒரு பெண் புத்தக்கண்ணாடி வைத்து கொண்டுருக்கிறாள்,4
31JUPBOOSSHKAZPEDFI2FSOEJMWL8F,A2WI5DVHW58TY4,191,gif,a man is taking off his shirt and throwing it down,ஒருவன் சட்டையை கழட்டுகின்றான் .,3
31JUPBOOSSHKAZPEDFI2FSOEJMWL8F,A2WI5DVHW58TY4,191,image,A small dog wearing a red cape is riding a scooter.,இந்த நாய் மிக அழகாக தன்னுடைய சைக்கிளில் பார்வையாளர் முன்பு வலம் வருகிறது,4
31JUPBOOSSHKAZPEDFI2FSOEJMWL8F,A2WI5DVHW58TY4,191,gif,two men are on a stage singing and dancing,"அவன் ஒலிபெருக்கியில் பேசுகிறான், அவள் நடனம் ஆடி கொண்டு இருக்கின்றாள் .",3
31JUPBOOSSHKAZPEDFI2FSOEJMWL8F,A2WI5DVHW58TY4,191,image,Two young men are standing with a bright light shining on them.,கையில் ஒலிபெருக்கியுடன் மேடையில் இருவர்.,2
31JUPBOOSSHKAZPEDFI2FSOEJMWL8F,A2WI5DVHW58TY4,191,image,A black man with a hat is leaning over another black person.,இரண்டு பெண்கள் ஒருவருக்கொருவர் விவாதிக்கிறார்கள்,1
31JUPBOOSSHKAZPEDFI2FSOEJMWL8F,A111ZFNLXK1TCO,111,image,A woman in a black leather jacking is smiling.,பின்னால் இருந்து கட்டியணைக்க போகிறாள்,1
31JUPBOOSSHKAZPEDFI2FSOEJMWL8F,A111ZFNLXK1TCO,111,gif,a girl is breaking an egg on her head.,அவள் தலையில் முட்டை போட்டு உடைக்கின்றாள்.,5
31JUPBOOSSHKAZPEDFI2FSOEJMWL8F,A111ZFNLXK1TCO,111,image,A man sitting at a table is taking a drink from a wine glass.,அவர் மிகவும் இன்பமாக மது அருந்திக்கொண்டிக்கின்றார்,4
31JUPBOOSSHKAZPEDFI2FSOEJMWL8F,A111ZFNLXK1TCO,111,gif,a man has a baby under his jacket.,அப்பாவின் ஜெர்க்கினில் குழந்தை உள்ளது,5
31JUPBOOSSHKAZPEDFI2FSOEJMWL8F,A111ZFNLXK1TCO,111,gif,a woman is outside looking though a magnifying glass.,ஒரு பெண் புத்தக்கண்ணாடி வைத்து கொண்டுருக்கிறாள்,4
