HITId,WorkerId,WorkTimeInSeconds,key,english,hindi,rating
30P8I9JKPNY4JMI6TLD5QHCP7LAV50,AGPGH9GLV1UAW,129,image,A group of people are walking down a large city.,चौड़ी सी सड़क पर बहुत से लोग कहीं जाते हुए।,4
30P8I9JKPNY4JMI6TLD5QHCP7LAV50,AGPGH9GLV1UAW,129,image,a woman with a odd look on her face.,महिला दाँत दिखा रही है,2
30P8I9JKPNY4JMI6TLD5QHCP7LAV50,AGPGH9GLV1UAW,129,m20,two bald ladies in red dresses and matching jewelry laugh.,लाल कपडे और मैचिंग गहनों में दो गंजे महिलाएं हंसती हैं।,5
30P8I9JKPNY4JMI6TLD5QHCP7LAV50,AGPGH9GLV1UAW,129,image,A boy falls down in front of a band.,लड़का सो रहा है।,1
30P8I9JKPNY4JMI6TLD5QHCP7LAV50,AGPGH9GLV1UAW,129,image,A man in a cowboy hat is signing into a microhpone.,धीमे आवाज में गाने वाला व्यक्ती,1
30P8I9JKPNY4JMI6TLD5QHCP7LAV50,AGPGH9GLV1UAW,129,image,A woman wearing a black tank top and smirking with her hand covering her mouth.,लड़की मुस्कुरा रही है,1
30P8I9JKPNY4JMI6TLD5QHCP7LAV50,AGPGH9GLV1UAW,129,image,A man in a dark shirt is smiling and holding a gun.,पिस्टोल पकडा हुआ आदमी,1
30P8I9JKPNY4JMI6TLD5QHCP7LAV50,AGPGH9GLV1UAW,129,m20,rocky mountains.,बर्फ से पहाडों की चोटी भर गयी है।,1
30P8I9JKPNY4JMI6TLD5QHCP7LAV50,AGPGH9GLV1UAW,129,gif,the men are dancing and performing on stage.,कुछ लोग नाचते हैं,1
30P8I9JKPNY4JMI6TLD5QHCP7LAV50,AGPGH9GLV1UAW,129,image,A man in a red button up shirt is in a wooded area with an angry expression on his face.,लाल शर्ट वाला आदमी  देखा रहा है,1
30P8I9JKPNY4JMI6TLD5QHCP7LAV50,A3TKUXUTDX6FBF,446,image,A group of people are walking down a large city.,चौड़ी सी सड़क पर बहुत से लोग कहीं जाते हुए।,4
30P8I9JKPNY4JMI6TLD5QHCP7LAV50,A3TKUXUTDX6FBF,446,image,a woman with a odd look on her face.,महिला दाँत दिखा रही है,2
30P8I9JKPNY4JMI6TLD5QHCP7LAV50,A3TKUXUTDX6FBF,446,m20,two bald ladies in red dresses and matching jewelry laugh.,लाल कपडे और मैचिंग गहनों में दो गंजे महिलाएं हंसती हैं।,5
30P8I9JKPNY4JMI6TLD5QHCP7LAV50,A3TKUXUTDX6FBF,446,image,A boy falls down in front of a band.,लड़का सो रहा है।,2
30P8I9JKPNY4JMI6TLD5QHCP7LAV50,A3TKUXUTDX6FBF,446,image,A man in a cowboy hat is signing into a microhpone.,धीमे आवाज में गाने वाला व्यक्ती,4
30P8I9JKPNY4JMI6TLD5QHCP7LAV50,A3TKUXUTDX6FBF,446,image,A woman wearing a black tank top and smirking with her hand covering her mouth.,लड़की मुस्कुरा रही है,2
30P8I9JKPNY4JMI6TLD5QHCP7LAV50,A3TKUXUTDX6FBF,446,image,A man in a dark shirt is smiling and holding a gun.,पिस्टोल पकडा हुआ आदमी,4
30P8I9JKPNY4JMI6TLD5QHCP7LAV50,A3TKUXUTDX6FBF,446,m20,rocky mountains.,बर्फ से पहाडों की चोटी भर गयी है।,2
30P8I9JKPNY4JMI6TLD5QHCP7LAV50,A3TKUXUTDX6FBF,446,gif,the men are dancing and performing on stage.,कुछ लोग नाचते हैं,4
30P8I9JKPNY4JMI6TLD5QHCP7LAV50,A3TKUXUTDX6FBF,446,image,A man in a red button up shirt is in a wooded area with an angry expression on his face.,लाल शर्ट वाला आदमी  देखा रहा है,3
3YKP7CX6H7S4XCYJCX12NPWEVZPB7P,A2FAQHVBPK7CRS,235,gif,this is a blond girl blowing a kiss.,गिफ में लड़की फ्लाइंग किस दे रही है,2
3YKP7CX6H7S4XCYJCX12NPWEVZPB7P,A2FAQHVBPK7CRS,235,image,A woman with long dark hair is looking over her shoulder.,काले कपड़े में एक लड़की एक दरवाजे की ओर चल रही है।,1
3YKP7CX6H7S4XCYJCX12NPWEVZPB7P,A2FAQHVBPK7CRS,235,gif,a man in a hat is walking up the stairs holding a bottle of water.,आदमी प्लास्टिक की बोतल के साथ चल रहा है,3
3YKP7CX6H7S4XCYJCX12NPWEVZPB7P,A2FAQHVBPK7CRS,235,image,A male in a striped shirt and black jeans is standing on a skateboard,लड़का स्केटिंग कर रहा है।,2
3YKP7CX6H7S4XCYJCX12NPWEVZPB7P,A2FAQHVBPK7CRS,235,m20,a dog stands on a beach at sunset.,समुद्र किनारे गेंद के साथ खडा एक कुत्ता।,2
3YKP7CX6H7S4XCYJCX12NPWEVZPB7P,A2FAQHVBPK7CRS,235,m20,a male bicyclist on a mountain road.,एक आदमी खुभ सारा सामान साईकल पे लिए हुए खडा है।,3
3YKP7CX6H7S4XCYJCX12NPWEVZPB7P,A2FAQHVBPK7CRS,235,image,A  man in a blue shirt has his fist and arm raised over his head,आदमी हाथ घुमा रहा है।,1
3YKP7CX6H7S4XCYJCX12NPWEVZPB7P,A2FAQHVBPK7CRS,235,gif,a man on a motorcycle is jumping it over a police car.,हेलमेट पहनकर एक बाइक सवार कार के ऊपर से कूद रहा है।,4
3YKP7CX6H7S4XCYJCX12NPWEVZPB7P,A2FAQHVBPK7CRS,235,image,A man is riding in the car with a bandage on his face.,एक आदमी नीली कमीज और काले कोट में है और उसके माथे पर पट्टी है,2
3YKP7CX6H7S4XCYJCX12NPWEVZPB7P,A2FAQHVBPK7CRS,235,m20,a jockey on a horse jumps a fence.,एक आदमी घोडे पर बैठा है और वो घोडा लकडी की दीवार को पार कर रहा है।,2
3YKP7CX6H7S4XCYJCX12NPWEVZPB7P,AF2GUPXX9MYSS,516,gif,this is a blond girl blowing a kiss.,गिफ में लड़की फ्लाइंग किस दे रही है,3
3YKP7CX6H7S4XCYJCX12NPWEVZPB7P,AF2GUPXX9MYSS,516,image,A woman with long dark hair is looking over her shoulder.,काले कपड़े में एक लड़की एक दरवाजे की ओर चल रही है।,1
3YKP7CX6H7S4XCYJCX12NPWEVZPB7P,AF2GUPXX9MYSS,516,gif,a man in a hat is walking up the stairs holding a bottle of water.,आदमी प्लास्टिक की बोतल के साथ चल रहा है,3
3YKP7CX6H7S4XCYJCX12NPWEVZPB7P,AF2GUPXX9MYSS,516,image,A male in a striped shirt and black jeans is standing on a skateboard,लड़का स्केटिंग कर रहा है।,2
3YKP7CX6H7S4XCYJCX12NPWEVZPB7P,AF2GUPXX9MYSS,516,m20,a dog stands on a beach at sunset.,समुद्र किनारे गेंद के साथ खडा एक कुत्ता।,3
3YKP7CX6H7S4XCYJCX12NPWEVZPB7P,AF2GUPXX9MYSS,516,m20,a male bicyclist on a mountain road.,एक आदमी खुभ सारा सामान साईकल पे लिए हुए खडा है।,2
3YKP7CX6H7S4XCYJCX12NPWEVZPB7P,AF2GUPXX9MYSS,516,image,A  man in a blue shirt has his fist and arm raised over his head,आदमी हाथ घुमा रहा है।,2
3YKP7CX6H7S4XCYJCX12NPWEVZPB7P,AF2GUPXX9MYSS,516,gif,a man on a motorcycle is jumping it over a police car.,हेलमेट पहनकर एक बाइक सवार कार के ऊपर से कूद रहा है।,3
3YKP7CX6H7S4XCYJCX12NPWEVZPB7P,AF2GUPXX9MYSS,516,image,A man is riding in the car with a bandage on his face.,एक आदमी नीली कमीज और काले कोट में है और उसके माथे पर पट्टी है,3
3YKP7CX6H7S4XCYJCX12NPWEVZPB7P,AF2GUPXX9MYSS,516,m20,a jockey on a horse jumps a fence.,एक आदमी घोडे पर बैठा है और वो घोडा लकडी की दीवार को पार कर रहा है।,4
3M0556244XXJDE2MX64N2C9PACMNFU,A3TKUXUTDX6FBF,404,m20,a girl does a handstand on a trampoline.,टरपोलिन पर योगा करती हुई लडकी।,4
3M0556244XXJDE2MX64N2C9PACMNFU,A3TKUXUTDX6FBF,404,image,A man is sitting in a comfy chair reading several different papers.,आदमी रिपोर्ट देखा रहा है।,4
3M0556244XXJDE2MX64N2C9PACMNFU,A3TKUXUTDX6FBF,404,m20,a man laying in the grass reading.,एक आदमी घाँस पर लेट कर किताब पढ रहा है।,3
3M0556244XXJDE2MX64N2C9PACMNFU,A3TKUXUTDX6FBF,404,m20,a shirtless boy jumps onto the couch.,एक आधा नग्न लडका सोफे पर कूद रहा है।,5
3M0556244XXJDE2MX64N2C9PACMNFU,A3TKUXUTDX6FBF,404,gif,a cat has its head stuck inside of a box.,एक काली और सफ़ेद बिल्ली एक छोटे बक्से में सर घुसाकर खेल रही है |,4
3M0556244XXJDE2MX64N2C9PACMNFU,A3TKUXUTDX6FBF,404,image,A woman wearing a gold dress is blowing a kiss.,यह महिला फ्लाइंग किस कर रही है I,1
3M0556244XXJDE2MX64N2C9PACMNFU,A3TKUXUTDX6FBF,404,image,A black man taking a selfie.,एक लड़का हाथ में कुछ यंत्र लिए हुए है और उसे देख रहा है।,1
3M0556244XXJDE2MX64N2C9PACMNFU,A3TKUXUTDX6FBF,404,image,A person in sunglasses and headphones looks into the camera.,यह पुरुष हेडफोन सुन रहा है I,3
3M0556244XXJDE2MX64N2C9PACMNFU,A3TKUXUTDX6FBF,404,image,A dark haired woman is applying lipstick.,औरत अपनी होठ पर लिपस्टिक लगा रही है।,3
3M0556244XXJDE2MX64N2C9PACMNFU,A3TKUXUTDX6FBF,404,gif,a woman gets out of a car and is helped by a man.,गाड़ी से उतरती हुई एक महिला की तस्वीर खींच रहे हैं |,1
3M0556244XXJDE2MX64N2C9PACMNFU,A29MM3QH9J9AI5,277,m20,a girl does a handstand on a trampoline.,टरपोलिन पर योगा करती हुई लडकी।,2
3M0556244XXJDE2MX64N2C9PACMNFU,A29MM3QH9J9AI5,277,image,A man is sitting in a comfy chair reading several different papers.,आदमी रिपोर्ट देखा रहा है।,1
3M0556244XXJDE2MX64N2C9PACMNFU,A29MM3QH9J9AI5,277,m20,a man laying in the grass reading.,एक आदमी घाँस पर लेट कर किताब पढ रहा है।,3
3M0556244XXJDE2MX64N2C9PACMNFU,A29MM3QH9J9AI5,277,m20,a shirtless boy jumps onto the couch.,एक आधा नग्न लडका सोफे पर कूद रहा है।,5
3M0556244XXJDE2MX64N2C9PACMNFU,A29MM3QH9J9AI5,277,gif,a cat has its head stuck inside of a box.,एक काली और सफ़ेद बिल्ली एक छोटे बक्से में सर घुसाकर खेल रही है |,3
3M0556244XXJDE2MX64N2C9PACMNFU,A29MM3QH9J9AI5,277,image,A woman wearing a gold dress is blowing a kiss.,यह महिला फ्लाइंग किस कर रही है I,3
3M0556244XXJDE2MX64N2C9PACMNFU,A29MM3QH9J9AI5,277,image,A black man taking a selfie.,एक लड़का हाथ में कुछ यंत्र लिए हुए है और उसे देख रहा है।,2
3M0556244XXJDE2MX64N2C9PACMNFU,A29MM3QH9J9AI5,277,image,A person in sunglasses and headphones looks into the camera.,यह पुरुष हेडफोन सुन रहा है I,2
3M0556244XXJDE2MX64N2C9PACMNFU,A29MM3QH9J9AI5,277,image,A dark haired woman is applying lipstick.,औरत अपनी होठ पर लिपस्टिक लगा रही है।,4
3M0556244XXJDE2MX64N2C9PACMNFU,A29MM3QH9J9AI5,277,gif,a woman gets out of a car and is helped by a man.,गाड़ी से उतरती हुई एक महिला की तस्वीर खींच रहे हैं |,2
3TRB893CTON0OT6USJTGO0NBBCHG7B,A3TKUXUTDX6FBF,242,image,A man holds a pillow in the air.,आदमी टीशर्ट पहन रहा है,2
3TRB893CTON0OT6USJTGO0NBBCHG7B,A3TKUXUTDX6FBF,242,gif,a man is wearing sunglasses and smiling while wearing a suit,सूट और काला चश्मा पहना हुआ एक आदमी मुस्कुरा रहा है |,4
3TRB893CTON0OT6USJTGO0NBBCHG7B,A3TKUXUTDX6FBF,242,image,A man wearing glasses is lighting a cigarette.,यह व्यक्ति सिगरेट पी रहा है,4
3TRB893CTON0OT6USJTGO0NBBCHG7B,A3TKUXUTDX6FBF,242,image,A little person in a red suit stands in front of a red curtain.,यह बोना आदमी खड़ा हुआ है I,2
3TRB893CTON0OT6USJTGO0NBBCHG7B,A3TKUXUTDX6FBF,242,gif,the woman is waving and blowing a kiss.,लड़की फ्लाईंग किश दे रही है,4
3TRB893CTON0OT6USJTGO0NBBCHG7B,A3TKUXUTDX6FBF,242,m20,two dogs running through high grass.,दो कुत्ते घास मै दौडते है।,4
3TRB893CTON0OT6USJTGO0NBBCHG7B,A3TKUXUTDX6FBF,242,m20,four black-haired girls in shorts are walking.,चार लडकियाँ चलती हुई।,3
3TRB893CTON0OT6USJTGO0NBBCHG7B,A3TKUXUTDX6FBF,242,gif,a woman is swinging on a rope in the desert.,पहाड़ियों के बीच एक लड़की झूले पर झूल रही है |,4
3TRB893CTON0OT6USJTGO0NBBCHG7B,A3TKUXUTDX6FBF,242,m20,two people are planting small bushes near a grassy area.,किसान खेत मै फसल लगा रहे है।,2
3TRB893CTON0OT6USJTGO0NBBCHG7B,A3TKUXUTDX6FBF,242,m20,a black dog jumping in water in the woods.,एक काला कुत्ता पानी से बाहर कूद रहा है।,4
3TRB893CTON0OT6USJTGO0NBBCHG7B,AF2GUPXX9MYSS,412,image,A man holds a pillow in the air.,आदमी टीशर्ट पहन रहा है,1
3TRB893CTON0OT6USJTGO0NBBCHG7B,AF2GUPXX9MYSS,412,gif,a man is wearing sunglasses and smiling while wearing a suit,सूट और काला चश्मा पहना हुआ एक आदमी मुस्कुरा रहा है |,4
3TRB893CTON0OT6USJTGO0NBBCHG7B,AF2GUPXX9MYSS,412,image,A man wearing glasses is lighting a cigarette.,यह व्यक्ति सिगरेट पी रहा है,4
3TRB893CTON0OT6USJTGO0NBBCHG7B,AF2GUPXX9MYSS,412,image,A little person in a red suit stands in front of a red curtain.,यह बोना आदमी खड़ा हुआ है I,2
3TRB893CTON0OT6USJTGO0NBBCHG7B,AF2GUPXX9MYSS,412,gif,the woman is waving and blowing a kiss.,लड़की फ्लाईंग किश दे रही है,4
3TRB893CTON0OT6USJTGO0NBBCHG7B,AF2GUPXX9MYSS,412,m20,two dogs running through high grass.,दो कुत्ते घास मै दौडते है।,4
